rank,company_name,website,focus_check,focus_evidence,companies_house_number,companies_house_name,match_confidence,latest_accounts_period_end,revenue_gbp,revenue_period_end,profit_gbp,profit_period_end,other_metric_label,other_metric_value_gbp,other_metric_period_end,note
1,Montrose Glass,https://www.montroseglass.co.uk/,repair-first,website: 24/7 window & door repair specialists,07910895,MONTROSE GLASS LIMITED,high,2025-01-31,I don't know,I don't know,I don't know,I don't know,NetAssetsLiabilities,159343,2025-01-31,
2,Evander Glazing & Locks,https://www.evander.com/commercial/services/repair-replacement-refurbishments/,repair-first,"website/GGF: emergency glazing, glass repair and door repair",01484358,EVANDER GLAZING AND LOCKS LIMITED,high,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,No machine-readable revenue/profit/net-assets figure found in scanned XHTML filings.
3,Glazing Refurbishment Limited,https://www.glazingrefurbishments.co.uk/,repair-first,"website: commercial glazing maintenance, repair and replacement",05978752,GLAZING REFURBISHMENT LIMITED,high,2025-01-31,I don't know,I don't know,I don't know,I don't know,NetAssetsLiabilities,1259969,2025-01-31,
4,Swift Glazing,https://www.swiftglazing.co.uk/commercialglazing,repair-first,website: emergency commercial glazing and glass door repair,15514549,SWIFT GLAZING LTD,high,2025-02-28,I don't know,I don't know,I don't know,I don't know,NetAssetsLiabilities,5107,2025-02-28,
5,Britannia Glass & Glazing,https://britanniaglass.co.uk/,repair-first,website: 24/7 emergency glass repair and replacement,03862576,BRITANNIA GLASS & GLAZING LTD,high,2024-10-31,I don't know,I don't know,I don't know,I don't know,NetAssetsLiabilities,51273,2024-10-31,
6,Fast Glass (London),https://fastglass.co.uk/commercial-repairs/,repair-first,website: commercial glass replacement and emergency glazing,04671848,FAST GLASS (LONDON) LTD,high,2025-03-31,I don't know,I don't know,I don't know,I don't know,NetAssetsLiabilities,1503233,2025-03-31,
7,SGC Glass,https://sgcglass.com/services/commercial-repairs/,repair-first,website: commercial repairs and emergency glass replacement,04810533,SGC GLASS LTD,high,2025-06-30,I don't know,I don't know,I don't know,I don't know,NetAssetsLiabilities,573779,2025-06-30,
8,Prentice Glass,https://www.prenticeglass.co.uk/24-hour-emergency-glazing/,repair-first,website: 24 hour emergency glazing and door repairs,02769278,PRENTICE GLASS LIMITED,high,2025-03-31,I don't know,I don't know,-5149,2025-03-31,NetAssetsLiabilities,308826,2025-03-31,
9,Rapid Secure UK,https://www.rapidsecureuk.com/glazing/,repair-first,website: 24 hour emergency glass repair services,06527061,RAPID SECURE LIMITED,high,2025-01-31,I don't know,I don't know,I don't know,I don't know,NetAssetsLiabilities,1019288,2025-01-31,
10,UK Emergency Glazing,https://glazingnetwork.co.uk/glazing-companies/uk-emergency-glazing-ltd/,repair-first,directory profile: emergency glazing and boarding services,I don't know,I don't know,low,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,Strict matching rule applied: Companies House entity not confidently matched.
11,All Glazing UK,https://allglazinguk.co.uk/,repair-first,website: 24/7 emergency glazing service,14274756,ALL ASPECTS GLASS AND GLAZING LIMITED,high,2024-08-31,I don't know,I don't know,I don't know,I don't know,NetAssetsLiabilities,24401,2024-08-31,
12,Enter Glazing Emergency,https://enterglazing.co.uk/,repair-first,website: emergency glazing repairs and boarding up,14578648,ENTER GLAZING EMERGENCY LTD,high,2025-01-31,I don't know,I don't know,I don't know,I don't know,NetAssetsLiabilities,6120,2025-01-31,
13,London County Glaziers,https://londoncountyglaziers.co.uk/,repair-first,website: 24-hour emergency glazing and boarding,I don't know,I don't know,low,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,Strict matching rule applied: Companies House entity not confidently matched.
14,24H Glazing,https://24h-glazing.co.uk/,repair-first,website: emergency glazing and window repair,15609636,AMH CLEANING 24H LIMITED,high,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,No machine-readable revenue/profit/net-assets figure found in scanned XHTML filings.
15,Able Glaziers,https://able247glaziers.uk/,repair-first,"website: 24-hour glazing, boarding and repairs",I don't know,I don't know,low,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,Strict matching rule applied: Companies House entity not confidently matched.
16,Night & Day Glazing,https://glazierslondon247.co.uk/,repair-first,website: emergency glazing and smashed glass repair,07404299,ABES CROSSGATES DAY & NIGHT LTD,high,2024-10-31,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,No machine-readable revenue/profit/net-assets figure found in scanned XHTML filings.
17,Aaran Glass,https://www.aaranglass.co.uk/shop-front-glass/,repair-first,website: shopfront glass replacement and repairs,09258856,AARAN LTD,high,2024-10-31,I don't know,I don't know,I don't know,I don't know,NetAssetsLiabilities,-1382,2024-10-31,
18,Wallington Glass,https://wallingtonglass.co.uk/24-hour-emergency-shop-front-window-repair/,repair-first,website: 24/7 emergency shopfront and window repair,07140712,WALLINGTON GLASS AND FLOORING LTD,high,2025-01-31,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,No machine-readable revenue/profit/net-assets figure found in scanned XHTML filings.
19,Auto Pro Locksmith Services,https://www.autoprolocksmith.co.uk/commercial-glass-replacement-london/,repair-first,website: commercial glass replacement and emergency boarding,16718508,AUTO PRO LOCKSMITH SERVICES LTD,high,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,No machine-readable revenue/profit/net-assets figure found in scanned XHTML filings.
20,Hunters Glass,https://huntersglass.com/services/commercial-door-repairs,repair-first,website: commercial door glass repair specialists,11383512,HUNTERS GLASS LIMITED,high,2025-05-31,I don't know,I don't know,I don't know,I don't know,NetAssetsLiabilities,40817,2025-05-31,
21,BH Doors & Engineering,https://www.bhdoors.co.uk/commercial-door-emergency-repair/glass-door-repairs/,repair-first,website: commercial glass door repairs and maintenance,07011458,BH DOORS & ENGINEERING LIMITED,high,2025-03-31,I don't know,I don't know,I don't know,I don't know,NetAssetsLiabilities,392793,2025-03-31,
22,Haringey Glass & Glazing,https://www.haringeyglassglazing.co.uk/commercialglazing,repair-first,"website: commercial glass repair, door repairs, partition repairs",I don't know,I don't know,low,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,Strict matching rule applied: Companies House entity not confidently matched.
23,GlassDoorRepair.uk,https://glassdoorrepair.uk/,repair-first,website: commercial glass door repair specialists,I don't know,I don't know,low,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,I don't know,No Companies House search result parsed.
